Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
241,,1,0,1,0,1,1,,
242,,1,0,1,0,2,1,,
243,,1,0,1,0,1,1,,
244,,1,0,1,0,2,1,,
245,,1,0,1,0,1,1,,
246,,1,0,1,0,2,1,,
247,,1,0,1,0,1,1,,
248,,1,0,1,0,2,1,,
249,,1,0,1,0,1,1,,
250,,1,0,1,0,2,1,,
251,,1,0,1,1,1,0,,1
252,,1,0,1,0,2,1,,
253,,3,1,3,1,1,1,,
254,,1,0,1,0,2,1,,
255,,1,1,1,1,1,1,,
256,,2,1,2,1,2,1,,
257,,1,1,1,1,1,1,,
258,,1,0,1,0,2,1,,
259,,2,1,2,1,1,1,,
260,,2,0,2,0,2,1,,
261,,1,0,1,0,1,1,,
262,,1,0,1,0,2,1,,
263,,0,0,0,0,1,1,,
264,,1,0,1,0,2,1,,
265,,2,0,2,0,1,1,,
266,,1,0,1,-,2,0,,1
267,,5,1,5,1,1,1,,
268,,1,0,1,0,2,1,,
269,,1,0,1,0,1,1,,
270,,0,0,0,0,2,1,,
271,,1,0,1,0,1,1,,
272,,0,0,0,0,2,1,,
273,,1,0,1,0,1,1,,
274,,1,0,1,0,2,1,,
275,,1,0,1,0,1,1,,
276,,2,0,2,0,2,1,,
277,,1,0,1,0,1,1,,
278,,2,0,2,0,2,1,,
279,,2,0,2,0,1,1,,
280,,2,0,2,0,2,1,,
281,,1,0,1,0,1,1,,
282,,1,0,1,0,2,1,,
283,,1,0,1,1,1,0,,1
284,,2,0,2,0,2,1,,
285,,1,0,1,0,1,1,,
286,,0,0,0,1,2,0,,1
287,,1,0,1,0,1,1,,
288,,1,1,1,0,2,0,,1
289,,1,0,1,0,1,1,,
290,,1,1,1,1,2,1,,
291,,1,1,1,1,1,1,,
292,,4,0,4,0,2,1,,
293,,1,0,1,0,1,1,,
294,,1,0,1,0,2,1,,
295,,0,0,0,0,1,1,,
296,,1,0,1,0,2,1,,
297,,1,0,1,0,1,1,,
298,,1,1,1,0,2,0,,1
299,,1,0,1,0,1,1,,
300,,1,0,1,1,2,0,,1
301,,1,0,1,0,1,1,,
302,,1,0,1,0,2,1,,
303,,1,1,1,1,1,1,,
304,,1,0,1,0,2,1,,
305,,1,0,1,0,1,1,,
306,,2,0,2,0,2,1,,
307,,1,0,1,0,1,1,,
308,,1,1,1,1,2,1,,
309,,1,0,1,0,1,1,,
310,,1,0,1,0,2,1,,
311,,1,0,1,0,1,1,,
312,,2,1,2,1,2,1,,
313,,1,1,1,1,1,1,,
314,,2,0,2,0,2,1,,
315,,2,1,2,0,1,0,,1
316,,1,0,0,0,2,0,1,
317,,1,0,1,0,1,1,,
318,,1,0,1,0,2,1,,
319,,1,0,1,0,1,1,,
320,,1,0,1,,2,1,,
321,,2,0,2,0,1,1,,
322,,2,0,2,0,2,1,,
323,,1,0,1,0,1,1,,
324,,1,0,1,0,2,1,,
325,,2,0,2,0,1,1,,
326,,1,0,1,0,2,1,,
327,,2,0,2,0,1,1,,
328,,1,0,1,0,2,1,,
329,,2,0,2,0,1,1,,
330,,1,0,1,0,2,1,,
331,,1,0,1,0,1,1,,
332,,1,1,1,1,2,1,,
333,,1,0,1,1,1,0,,1
334,,1,0,1,0,2,1,,
335,,1,0,0,0,1,0,1,
336,,2,0,2,0,2,1,,
337,,1,1,1,1,1,1,,
338,,2,0,2,0,2,1,,
339,,1,0,1,0,1,1,,
340,,1,0,1,0,2,1,,
341,,1,0,1,0,1,1,,
342,,2,0,2,0,2,1,,
343,,1,0,1,0,1,1,,
344,,1,1,1,1,2,1,,
345,,1,0,1,0,1,1,,
346,,2,0,2,0,2,1,,
347,,1,0,1,0,1,1,,
348,,1,0,1,0,2,1,,
349,,0,0,0,0,1,1,,
350,,0,0,0,0,2,1,,
351,,2,1,2,1,1,1,,
352,,1,0,1,0,2,1,,
353,,1,0,1,1,1,0,,1
354,,0,0,0,0,2,1,,
355,,1,0,1,0,1,1,,
356,,1,0,1,0,2,1,,
357,,0,0,0,0,1,1,,
358,,2,0,2,0,2,1,,
359,,1,0,1,0,1,1,,
360,,1,0,1,0,2,1,,
361,,0,0,0,0,1,1,,
362,,1,1,1,0,2,0,,1
363,,1,0,1,0,1,1,,
364,,1,0,1,0,2,1,,
365,,1,0,1,0,1,1,,
366,,1,0,1,0,2,1,,
