Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
828,,1,0,1,0,2,1,,
829,,1,0,1,0,1,1,,
830,,1,0,1,0,2,1,,
831,,1,1,1,1,1,1,,
832,,2,0,2,0,2,1,,
833,,1,1,1,1,1,1,,
834,,1,0,1,0,2,1,,
835,,1,0,1,0,1,1,,
836,,1,0,1,0,2,1,,
837,,1,0,1,0,1,1,,
838,,2,0,2,0,2,1,,
839,,1,0,1,0,1,1,,
840,,1,0,1,0,2,1,,
841,,1,0,1,0,1,1,,
842,,1,0,1,0,2,1,,
843,,1,0,1,0,1,1,,
844,,2,0,2,0,2,1,,
845,,2,0,2,0,1,1,,
846,,1,0,1,0,2,1,,
847,,1,1,1,0,1,0,,1
848,,1,0,1,0,2,1,,
849,,1,0,1,0,1,1,,
850,,1,0,1,0,2,1,,
851,,1,0,1,0,1,1,,
852,,0,0,0,0,2,1,,
853,,1,0,1,0,1,1,,
854,,2,0,2,0,2,1,,
855,,1,0,1,0,1,1,,
856,,1,0,1,0,2,1,,
857,,1,0,1,0,1,1,,
858,,1,0,1,0,2,1,,
859,,1,0,1,0,1,1,,
860,,2,0,2,0,2,1,,
861,,1,1,1,1,1,1,,
862,,2,0,2,0,2,1,,
863,,0,0,0,0,1,1,,
864,,1,0,1,0,2,1,,
865,,1,0,1,0,1,1,,
866,,1,0,1,0,2,1,,
867,,1,0,1,0,1,1,,
868,,1,0,0,0,2,0,1,
869,,2,1,2,0,1,0,,1
870,,1,0,1,0,2,1,,
871,,2,0,1,0,1,0,1,
872,,1,0,1,0,2,1,,
873,,1,0,1,0,1,1,,
874,,2,0,2,0,2,1,,
875,,2,0,2,0,1,1,,
876,,1,0,1,0,2,1,,
877,,1,0,1,0,1,1,,
878,,2,1,2,1,2,1,,
879,,0,0,0,0,1,1,,
880,,1,1,1,1,2,1,,
881,,1,0,0,0,1,0,1,
882,,2,0,2,0,2,1,,
883,,1,1,1,1,1,1,,
884,,1,0,1,0,2,1,,
885,,1,0,1,0,1,1,,
886,,2,1,2,1,2,1,,
887,,1,0,1,0,1,1,,
888,,1,0,1,0,2,1,,
889,,2,0,2,0,1,1,,
890,,1,1,1,1,2,1,,
891,,1,1,1,1,1,1,,
892,,1,0,1,0,2,1,,
893,,1,0,1,0,1,1,,
894,,1,0,1,0,2,1,,
895,,1,0,1,0,1,1,,
896,,1,0,1,0,2,1,,
897,,1,0,1,0,1,1,,
898,,1,0,1,0,2,1,,
899,,1,1,1,1,1,1,,
900,,1,0,1,0,2,1,,
901,,2,0,2,0,1,1,,
902,,3,1,3,1,2,1,,
903,,3,1,1,0,1,0,1,1
904,,2,0,2,0,2,1,,
905,,0,0,0,0,1,1,,
906,,1,0,1,0,2,1,,
907,,1,0,1,0,1,1,,
908,,1,1,1,0,2,0,,1
909,,1,0,1,0,1,1,,
910,,0,1,0,1,2,1,,
911,,1,0,1,0,1,1,,
912,,1,0,1,0,2,1,,
913,,1,1,1,1,1,1,,
914,,2,1,2,1,2,1,,
915,,1,0,1,0,1,1,,
916,,1,1,1,1,2,1,,
917,,1,0,1,0,1,1,,
918,,2,0,2,0,2,1,,
919,,1,1,1,1,1,1,,
920,,2,0,2,0,2,1,,
921,,1,0,1,0,1,1,,
922,,0,0,0,1,2,0,,1
923,,1,1,1,1,1,1,,
924,,1,1,1,1,2,1,,
925,,1,1,1,1,1,1,,
926,,2,0,2,0,2,1,,
927,,1,0,1,0,1,1,,
928,,1,0,1,0,2,1,,
929,,1,0,1,0,1,1,,
930,,2,0,2,0,2,1,,
931,,1,1,1,1,1,1,,
932,,1,0,1,0,2,1,,
933,,2,0,2,0,1,1,,
934,,1,1,1,0,2,0,,1
935,,2,0,2,0,1,1,,
936,,1,0,1,0,2,1,,
937,,1,0,1,0,1,1,,
938,,2,1,1,1,2,0,1,
939,,1,0,1,0,1,1,,
940,,1,1,1,1,2,1,,
941,,1,1,1,1,1,1,,
942,,3,0,3,0,2,1,,
943,,1,0,1,0,1,1,,
944,,1,1,1,1,2,1,,
945,,1,0,1,0,1,1,,
946,,1,0,1,0,2,1,,
947,,1,1,1,1,1,1,,
948,,1,0,1,0,2,1,,
949,,1,0,1,0,1,1,,
950,,1,0,1,0,2,1,,
951,,1,1,1,1,1,1,,
952,,1,0,1,0,2,1,,
953,,1,1,1,1,1,1,,
954,,4,0,5,0,2,0,1,
955,,1,1,1,1,1,1,,
956,,1,0,1,0,2,1,,
957,,1,0,1,0,1,1,,
958,,1,0,1,0,2,1,,
959,,1,0,0,0,1,0,1,
960,,0,1,0,1,2,1,,
961,,1,1,1,0,1,0,,1
962,,0,0,0,0,2,1,,
963,,2,1,2,1,1,1,,
964,,1,0,1,0,2,1,,
965,,1,0,1,0,1,1,,
966,,1,0,1,0,2,1,,
967,,2,0,2,0,1,1,,
968,,1,0,1,0,2,1,,
969,,1,0,1,0,1,1,,
970,,2,0,2,0,2,1,,
971,,1,1,1,1,1,1,,
972,,1,1,1,1,2,1,,
973,,1,0,1,0,1,1,,
974,,1,0,1,0,2,1,,
975,,1,0,1,0,1,1,,
976,,2,0,1,0,2,0,1,
977,,2,0,2,0,1,1,,
978,,1,0,1,0,2,1,,
979,,2,0,2,0,1,1,,
980,,1,0,1,0,2,1,,
981,,1,0,1,0,1,1,,
982,,2,1,1,1,2,0,1,
983,,1,0,1,0,1,1,,
984,,1,0,1,0,2,1,,
985,,2,0,2,0,1,1,,
986,,1,0,1,0,2,1,,
987,,1,0,1,0,1,1,,
988,,2,0,2,0,2,1,,
989,,2,1,2,0,1,0,,1
990,,1,1,1,1,2,1,,
991,,2,0,2,0,1,1,,
992,,1,0,1,0,2,1,,
993,,2,1,2,1,1,1,,
994,,1,0,1,1,2,0,,1
995,,1,0,1,0,1,1,,
996,,1,0,1,0,2,1,,
997,,1,0,1,0,1,1,,
998,,2,0,0,0,2,0,1,
999,,1,1,1,1,1,1,,
1000,,2,1,2,1,2,1,,
,,,,1,0,2,863,34,110
,,1.26,0.237,1,1,2,,,
,,1.257242178,0.2058823529,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,4,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,5,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,4,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,3,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,4,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,3,2,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,4,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,4,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,9,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,6,1,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,3,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,1,2,,,
,,,,3,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,3,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,5,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,3,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,3,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,5,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,2,1,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,0,2,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,5,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,5,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,5,0,2,,,
,,,,2,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
